% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
37913	1	1	1	0	28	2196	0	1	0
38013	1	1	1	0	28	2196	0	1	0
38113	1	1	1	0	28	2196	0	1	0
38213	1	1	1	0	28	2196	0	1	0
38313	1	1	1	0	28	2196	0	1	0
38413	1	1	1	0	28	2196	0	1	0
38513	1	1	1	0	28	2196	0	1	0
38613	1	1	1	0	28	2196	0	1	0
38713	1	1	1	0	28	2196	0	1	0
38813	1	1	1	0	28	2196	0	1	0
38913	1	1	1	0	28	2196	0	1	0
39013	1	1	1	0	28	2196	0	1	0
39113	1	1	1	0	28	2196	0	1	0
39213	1	1	1	0	28	2196	0	1	0
39313	1	1	1	0	28	2196	0	1	0
39413	1	1	1	0	28	2196	0	1	0
39513	1	1	1	0	28	2196	0	1	0
39613	1	1	1	0	28	2196	0	1	0
39713	1	1	1	0	28	2196	0	1	0
39813	1	1	1	0	28	2196	0	1	0
39913	1	1	1	0	28	2196	0	1	0
40013	1	1	1	0	28	2196	0	1	0
40113	1	1	1	0	28	2196	0	1	0
40213	1	1	1	0	28	2196	0	1	0
40313	1	1	1	0	28	2196	0	1	0
40413	1	1	1	0	28	2196	0	1	0
40513	1	1	1	0	28	2196	0	1	0
40613	1	1	1	0	28	2196	0	1	0
40713	1	1	1	0	28	2196	0	1	0
40813	1	1	1	0	28	2196	0	1	0
40913	1	1	1	0	28	2196	0	1	0
41013	1	1	1	0	28	2196	0	1	0
41113	1	1	1	0	28	2196	0	1	0
41213	1	1	1	0	28	2196	0	1	0
41313	1	1	1	0	28	2196	0	1	0
41413	1	1	1	0	28	2196	0	1	0
41513	1	1	1	0	28	2196	0	1	0
41613	1	1	1	0	28	2196	0	1	0
41713	1	1	1	0	28	2196	0	1	0
41813	1	1	1	0	28	2196	0	1	0
41913	1	1	1	0	28	2196	0	1	0
42013	1	1	1	0	28	2196	0	1	0
42113	1	1	1	0	28	2196	0	1	0
42213	1	1	1	0	28	2196	0	1	0
42313	1	1	1	0	28	2196	0	1	0
42413	1	1	1	0	28	2196	0	1	0
42513	1	1	1	0	28	2196	0	1	0
42613	1	1	1	0	28	2196	0	1	0
42713	1	1	1	0	28	2196	0	1	0
42813	1	1	1	0	28	2196	0	1	0
42913	1	1	1	0	28	2196	0	1	0
43013	1	1	1	0	28	2196	0	1	0
43113	1	1	1	0	28	2196	0	1	0
43213	1	1	1	0	28	2196	0	1	0
43313	1	1	1	0	28	2196	0	1	0
43413	1	1	1	0	28	2196	0	1	0
43513	1	1	1	0	28	2196	0	1	0
43613	1	1	1	0	28	2196	0	1	0
43713	1	1	1	0	28	2196	0	1	0
43813	1	1	1	0	28	2196	0	1	0
43913	1	1	1	0	28	2196	0	1	0
44013	1	1	1	0	28	2196	0	1	0
44113	1	1	1	0	28	2196	0	1	0
44213	1	1	1	0	28	2196	0	1	0
44313	1	1	1	0	28	2196	0	1	0
44413	1	1	1	0	28	2196	0	1	0
44513	1	1	1	0	28	2196	0	1	0
44613	1	1	1	0	28	2196	0	1	0
44713	1	1	1	0	28	2196	0	1	0
44813	1	1	1	0	28	2196	0	1	0
44913	1	1	1	0	28	2196	0	1	0
45013	1	1	1	0	28	2196	0	1	0
45113	1	1	1	0	28	2196	0	1	0
45213	1	1	1	0	28	2196	0	1	0
45313	1	1	1	0	28	2196	0	1	0
45413	1	1	1	0	28	2196	0	1	0
45513	1	1	1	0	28	2196	0	1	0
45613	1	1	1	0	28	2196	0	1	0
45713	1	1	1	0	28	2196	0	1	0
45813	1	1	1	0	28	2196	0	1	0
45913	1	1	1	0	28	2196	0	1	0
46013	1	1	1	0	28	2196	0	1	0
46113	1	1	1	0	28	2196	0	1	0
46213	1	1	1	0	28	2196	0	1	0
46313	1	1	1	0	28	2196	0	1	0
46413	1	1	1	0	28	2196	0	1	0
46513	1	1	1	0	28	2196	0	1	0
46613	1	1	1	0	28	2196	0	1	0
46713	1	1	1	0	28	2196	0	1	0
46813	1	1	1	0	28	2196	0	1	0
46913	1	1	1	0	28	2196	0	1	0
47013	1	1	1	0	28	2196	0	1	0
47113	1	1	1	0	28	2196	0	1	0
47213	1	1	1	0	28	2196	0	1	0
47313	1	1	1	0	28	2196	0	1	0
47413	1	1	1	0	28	2196	0	1	0
47513	1	1	1	0	28	2196	0	1	0
47613	1	1	1	0	28	2196	0	1	0
47713	1	1	1	0	28	2196	0	1	0
47813	1	1	1	0	28	2196	0	1	0
47913	1	1	1	0	28	2196	0	1	0
48013	1	1	1	0	28	2196	0	1	0
48113	1	1	1	0	28	2196	0	1	0
48213	1	1	1	0	28	2196	0	1	0
48313	1	1	1	0	28	2196	0	1	0
48413	1	1	1	0	28	2196	0	1	0
48513	1	1	1	0	28	2196	0	1	0
48613	1	1	1	0	28	2196	0	1	0
48713	1	1	1	0	28	2196	0	1	0
48813	1	1	1	0	28	2196	0	1	0
48913	1	1	1	0	28	2196	0	1	0
49013	1	1	1	0	28	2196	0	1	0
49113	1	1	1	0	28	2196	0	1	0
49213	1	1	1	0	28	2196	0	1	0
49313	1	1	1	0	28	2196	0	1	0
49413	1	1	1	0	28	2196	0	1	0
49513	1	1	1	0	28	2196	0	1	0
49613	1	1	1	0	28	2196	0	1	0
49713	1	1	1	0	28	2196	0	1	0
49813	1	1	1	0	28	2196	0	1	0
49913	1	1	1	0	28	2196	0	1	0
50013	1	1	1	0	28	2196	0	1	0
50113	1	1	1	0	28	2196	0	1	0
50213	1	1	1	0	28	2196	0	1	0
50313	1	1	1	0	28	2196	0	1	0
50413	1	1	1	0	28	2196	0	1	0
50513	1	1	1	0	28	2196	0	1	0
50613	1	1	1	0	28	2196	0	1	0
50713	1	1	1	0	28	2196	0	1	0
50813	1	1	1	0	28	2196	0	1	0
50913	1	1	1	0	28	2196	0	1	0
51013	1	1	1	0	28	2196	0	1	0
51113	1	1	1	0	28	2196	0	1	0
51213	1	1	1	0	28	2196	0	1	0
51313	1	1	1	0	28	2196	0	1	0
51413	1	1	1	0	28	2196	0	1	0
51513	1	1	1	0	28	2196	0	1	0
51613	1	1	1	0	28	2196	0	1	0
51713	1	1	1	0	28	2196	0	1	0
51813	1	1	1	0	28	2196	0	1	0
51913	1	1	1	0	28	2196	0	1	0
52013	1	1	1	0	28	2196	0	1	0
52113	1	1	1	0	28	2196	0	1	0
52213	1	1	1	0	28	2196	0	1	0
52313	1	1	1	0	28	2196	0	1	0
52413	1	1	1	0	28	2196	0	1	0
52513	1	1	1	0	28	2196	0	1	0
52613	1	1	1	0	28	2196	0	1	0
52713	1	1	1	0	28	2196	0	1	0
52813	1	1	1	0	28	2196	0	1	0
52913	1	1	1	0	28	2196	0	1	0
53013	1	1	1	0	28	2196	0	1	0
53113	1	1	1	0	28	2196	0	1	0
53213	1	1	1	0	28	2196	0	1	0
53313	1	1	1	0	28	2196	0	1	0
53413	1	1	1	0	28	2196	0	1	0
53513	1	1	1	0	28	2196	0	1	0
53613	1	1	1	0	28	2196	0	1	0
53713	1	1	1	0	28	2196	0	1	0
53813	1	1	1	0	28	2196	0	1	0
53913	1	1	1	0	28	2196	0	1	0
54013	1	1	1	0	28	2196	0	1	0
54113	1	1	1	0	28	2196	0	1	0
54213	1	1	1	0	28	2196	0	1	0
54313	1	1	1	0	28	2196	0	1	0
54413	1	1	1	0	28	2196	0	1	0
54513	1	1	1	0	28	2196	0	1	0
54613	1	1	1	0	28	2196	0	1	0
54713	1	1	1	0	28	2196	0	1	0
54813	1	1	1	0	28	2196	0	1	0
54913	1	1	1	0	28	2196	0	1	0
55013	1	1	1	0	28	2196	0	1	0
55113	1	1	1	0	28	2196	0	1	0
55213	1	1	1	0	28	2196	0	1	0
55313	1	1	1	0	28	2196	0	1	0
55413	1	1	1	0	28	2196	0	1	0
55513	1	1	1	0	28	2196	0	1	0
55613	1	1	1	0	28	2196	0	1	0
55713	1	1	1	0	28	2196	0	1	0
55813	1	1	1	0	28	2196	0	1	0
55913	1	1	1	0	28	2196	0	1	0
56013	1	1	1	0	28	2196	0	1	0
56113	1	1	1	0	28	2196	0	1	0
56213	1	1	1	0	28	2196	0	1	0
56313	1	1	1	0	28	2196	0	1	0
56413	1	1	1	0	28	2196	0	1	0
56513	1	1	1	0	28	2196	0	1	0
56613	1	1	1	0	28	2196	0	1	0
56713	1	1	1	0	28	2196	0	1	0
56813	1	1	1	0	28	2196	0	1	0
56913	1	1	1	0	28	2196	0	1	0
57013	1	1	1	0	28	2196	0	1	0
57113	1	1	1	0	28	2196	0	1	0
57213	1	1	1	0	28	2196	0	1	0
57313	1	1	1	0	28	2196	0	1	0
57413	1	1	1	0	28	2196	0	1	0
57513	1	1	1	0	28	2196	0	1	0
57613	1	1	1	0	28	2196	0	1	0
57713	1	1	1	0	28	2196	0	1	0
57813	1	1	1	0	28	2196	0	1	0
57913	1	1	1	0	28	2196	0	1	0
58013	1	1	1	0	28	2196	0	1	0
58113	1	1	1	0	28	2196	0	1	0
58213	1	1	1	0	28	2196	0	1	0
58313	1	1	1	0	28	2196	0	1	0
58413	1	1	1	0	28	2196	0	1	0
58513	1	1	1	0	28	2196	0	1	0
58613	1	1	1	0	28	2196	0	1	0
58713	1	1	1	0	28	2196	0	1	0
58813	1	1	1	0	28	2196	0	1	0
58913	1	1	1	0	28	2196	0	1	0
59013	1	1	1	0	28	2196	0	1	0
59113	1	1	1	0	28	2196	0	1	0
59213	1	1	1	0	28	2196	0	1	0
59313	1	1	1	0	28	2196	0	1	0
59413	1	1	1	0	28	2196	0	1	0
59513	1	1	1	0	28	2196	0	1	0
59613	1	1	1	0	28	2196	0	1	0
59713	1	1	1	0	28	2196	0	1	0
59813	1	1	1	0	28	2196	0	1	0
59913	1	1	1	0	28	2196	0	1	0
60013	1	1	1	0	28	2196	0	1	0
60113	1	1	1	0	28	2196	0	1	0
60213	1	1	1	0	28	2196	0	1	0
60313	1	1	1	0	28	2196	0	1	0
60413	1	1	1	0	28	2196	0	1	0
60513	1	1	1	0	28	2196	0	1	0
60613	1	1	1	0	28	2196	0	1	0
60713	1	1	1	0	28	2196	0	1	0
60813	1	1	1	0	28	2196	0	1	0
60913	1	1	1	0	28	2196	0	1	0
61013	1	1	1	0	28	2196	0	1	0
61113	1	1	1	0	28	2196	0	1	0
61213	1	1	1	0	28	2196	0	1	0
61313	1	1	1	0	28	2196	0	1	0
61413	1	1	1	0	28	2196	0	1	0
61513	1	1	1	0	28	2196	0	1	0
61613	1	1	1	0	28	2196	0	1	0
61713	1	1	1	0	28	2196	0	1	0
61813	1	1	1	0	28	2196	0	1	0
61913	1	1	1	0	28	2196	0	1	0
62013	1	1	1	0	28	2196	0	1	0
62113	1	1	1	0	28	2196	0	1	0
62213	1	1	1	0	28	2196	0	1	0
62313	1	1	1	0	28	2196	0	1	0
62413	1	1	1	0	28	2196	0	1	0
62513	1	1	1	0	28	2196	0	1	0
