% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
50.561	1	1	1	5324.57	0
50.601	1	1	1	5324.57	0
50.641	1	1	1	5324.57	0
50.681	1	1	1	5324.57	0
50.721	1	1	1	5324.57	0
50.761	1	1	1	5324.57	0
50.801	1	1	1	5324.57	0
50.841	1	1	1	5324.57	0
50.881	1	1	1	5324.57	0
50.921	1	1	1	5324.57	0
50.961	1	1	1	5324.57	0
51.001	1	1	1	5324.57	0
51.041	1	1	1	5324.57	0
51.081	1	1	1	5324.57	0
51.121	1	1	1	5324.57	0
51.161	1	1	1	5324.57	0
51.201	1	1	1	5324.57	0
51.241	1	1	1	5324.57	0
51.281	1	1	1	5324.57	0
51.321	1	1	1	5324.57	0
51.361	1	1	1	5324.57	0
51.401	1	1	1	5324.57	0
51.441	1	1	1	5324.57	0
51.481	1	1	1	5324.57	0
51.521	1	1	1	5324.57	0
51.561	1	1	1	5324.57	0
51.601	1	1	1	5324.57	0
51.641	1	1	1	5324.57	0
51.681	1	1	1	5324.57	0
51.721	1	1	1	5324.57	0
51.761	1	1	1	5324.57	0
51.801	1	1	1	5324.57	0
51.841	1	1	1	5324.57	0
51.881	1	1	1	5324.57	0
51.921	1	1	1	5324.57	0
51.961	1	1	1	5324.57	0
52.001	1	1	1	5324.57	0
52.041	1	1	1	5324.57	0
52.081	1	1	1	5324.57	0
52.121	1	1	1	5324.57	0
52.161	1	1	1	5324.57	0
52.201	1	1	1	5324.57	0
52.241	1	1	1	5324.57	0
52.281	1	1	1	5324.57	0
52.321	1	1	1	5324.57	0
52.361	1	1	1	5324.57	0
52.401	1	1	1	5324.57	0
52.441	1	1	1	5324.57	0
52.481	1	1	1	5324.57	0
52.521	1	1	1	5324.57	0
52.561	1	1	1	5324.57	0
52.601	1	1	1	5324.57	0
52.641	1	1	1	5324.57	0
52.681	1	1	1	5324.57	0
52.721	1	1	1	5324.57	0
52.761	1	1	1	5324.57	0
52.801	1	1	1	5324.57	0
52.841	1	1	1	5324.57	0
52.881	1	1	1	5324.57	0
52.921	1	1	1	5324.57	0
52.961	1	1	1	5324.57	0
53.001	1	1	1	5324.57	0
53.041	1	1	1	5324.57	0
53.081	1	1	1	5324.57	0
53.121	1	1	1	5324.57	0
53.161	1	1	1	5324.57	0
53.201	1	1	1	5324.57	0
53.241	1	1	1	5324.57	0
53.281	1	1	1	5324.57	0
53.321	1	1	1	5324.57	0
53.361	1	1	1	5324.57	0
53.401	1	1	1	5324.57	0
53.441	1	1	1	5324.57	0
53.481	1	1	1	5324.57	0
53.521	1	1	1	5324.57	0
53.561	1	1	1	5324.57	0
53.601	1	1	1	5324.57	0
53.641	1	1	1	5324.57	0
53.681	1	1	1	5324.57	0
53.721	1	1	1	5324.57	0
53.761	1	1	1	5324.57	0
53.801	1	1	1	5324.57	0
53.841	1	1	1	5324.57	0
53.881	1	1	1	5324.57	0
53.921	1	1	1	5324.57	0
53.961	1	1	1	5324.57	0
54.001	1	1	1	5324.57	0
54.041	1	1	1	5324.57	0
54.081	1	1	1	5324.57	0
54.121	1	1	1	5324.57	0
54.161	1	1	1	5324.57	0
54.201	1	1	1	5324.57	0
54.241	1	1	1	5324.57	0
54.281	1	1	1	5324.57	0
54.321	1	1	1	5324.57	0
54.361	1	1	1	5324.57	0
